index	seat	title	filed_as	the_argument_for_moving_it
1A	17	Four	Hard bop	1954 and bop in language; a reader taking date alone files it Bebop
1A	26	Joy Spring	Hard bop	same seam; Brown 1954 sits on the line by definition
1A	50	Solar	Hard bop	Davis 1954; the same argument
1A	60	Tune Up	Bebop	1953 and a ii-V study; hard bop by date
2	14	Countdown	Post-bop	1959, filed post-bop for the harmonic system rather than the date; hard bop by date
2	24	Giant Steps	Post-bop	the same, and the stronger case of the two
2	39	Juju	Post-bop	modal in organization; a reader filing on organization moves it to Modal
2	55	Passion Dance	Modal	Tyner 1967; post-bop by date
3	52	Night Dreamer	Post-bop	modal in organization, same argument as Juju
3	23	Crescent	Modal	Coltrane 1964; post-bop by date
3	36	Goodbye Pork Pie Hat	Post-bop	Mingus 1959; hard bop by date, and it is a blues by form
1A	34	Misty	Mainstream	Garner 1954; a reader may file it Swing or decline the Mainstream class entirely
