anomaly_class,match_key,title_as_printed,appears_in,resolved_by,disposition,note
variant form,502blues,502 Blues (AKA Drinkin' And Drivin'),chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,502blues,502 Blues (Drinkin' And Drivin'),Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,52ndstreettheme,52nd Street Theme,ranking; survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,52ndstreettheme,"52nd Street Theme (AKA, The Theme)",Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,afternooninparis,Afternoon In Paris,log; log 201; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,afternooninparis,Afternoon in Paris,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,aintmisbehavin,Ain't Misbehavin',Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,aintmisbehavin,Aint Misbehavin',log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,allensalley,Allen's Alley,ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,allensalley,Allen's Alley (wee),Index,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,allensalley,Wee (Allen's Alley),survey cat,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,allofme,All Of Me,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,allofme,All of Me,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,allofyou,All Of You,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,allofyou,All of You,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,allthethingsyouare,All The Things You Are,Index; log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,allthethingsyouare,All the Things You Are,ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,aprilinparis,April In Paris,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,aprilinparis,April in Paris,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,autumninnewyork,Autumn In New York,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,autumninnewyork,Autumn in New York,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,autumnleaves,Autumn Leaves,Index; log; log 201; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,autumnleaves,Autumn Leaves (Les Feuilles Mortes),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bagsgroove,Bag's Groove,survey L2; survey cat; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,bagsgroove,Bags Groove,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,bagsgroove,Bags' Groove,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,beanandtheboys,Bean And The Boys (AKA Burt Covers Bud),chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,beanandtheboys,Bean and the Boys,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bessiesblues,Bessie's Blues,Index; chapter; log 201; survey L2; survey cat; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bessiesblues,Bessies Blues,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,billiesbounce,Billie's Bounce,log; log 201; ranking; survey L1; survey cat; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,billiesbounce,Billie’s Bounce,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,birksworks,Birk's Works,Index; log; ranking; survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,birksworks,Birks Works,log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,blueingreen,Blue In Green,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,blueingreen,Blue in Green,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluenboogie,Blue 'N' Boogie,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluenboogie,Blue 'n' Boogie,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluesbyfive,Blues By Five,chapter; log; log 201; residue B,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluesbyfive,Blues by Five,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluesforalice,Blues For Alice,Index; chapter; log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluesforalice,Blues for Alice,survey L1; survey cat; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluesinthecloset,Blues In The Closet,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluesinthecloset,Blues in the Closet,Index; ranking; survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluesonthecorner,Blues On The Corner,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluesonthecorner,Blues on the Corner,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,blueswalk,"Blues Walk, The",survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,blueswalk,The Blues Walk,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bluetrane,Blue Train,log; log 201,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,bluetrane,Blue Trane,Index; chapter; survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,bodyandsoul,Body & Soul,survey L1; survey graded,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,bodyandsoul,Body And Soul,log; log 201,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,bodyandsoul,Body and Soul,Index; ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,bolivarblues,Blue Bolivar Blues,log; survey cat,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,bolivarblues,Bolivar Blues,Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,butnotforme,But Not For Me,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,butnotforme,But Not for Me,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,canthelplovindatman,Can't Help Lovin That Man,log,declared fold,fold to match_key,one composition printed 3 ways across the sources
variant form,canthelplovindatman,Can't Help Lovin' Dat Man,ranking,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,canthelplovindatman,Can’t Help Lovin’ Dat Man,Index,normalization,fold to match_key,one composition printed 3 ways across the sources
variant form,cheektocheek,Cheek To Cheek,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,cheektocheek,Cheek to Cheek,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,cherokee,Cherokee,Index; log; log 201; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,cherokee,Cherokee (Indian Love Song),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,chicken,"Chicken, The",survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,chicken,The Chicken,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,cjamblues,C Jam Blues,log; ranking; survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,cjamblues,C Jam Blues (Duke's Place),Index,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,comerainorcomeshine,Come Rain Or Come Shine,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,comerainorcomeshine,Come Rain or Come Shine,Index; ranking; survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,corcovado,Corcovado,Index; log; log 201; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,corcovado,Corcovado (Quiet Nights of Quiet Stars),ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,crymeariver,Cry Me A River,log,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,crymeariver,Cry Me a River,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,danceoftheinfidels,Dance Of The Infidels,Index; chapter,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,danceoftheinfidels,Dance of the Infidels,survey cat,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,darnthatdream,Darn That Dream,Index; log; log 201; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,darnthatdream,Darn that Dream,survey L2; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,daysofwineandroses,Days Of Wine And Roses,log; log 201,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,daysofwineandroses,Days of Wine and Roses,Index; ranking; survey L1; survey graded,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,donothintillyouhearfromme,Do Nothin' Till You Hear from Me,Index; ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
variant form,donothintillyouhearfromme,Do Nothing Till You Hear From Me,log,declared fold,fold to match_key,one composition printed 2 ways across the sources
variant form,dontexplain,Don't Explain,ranking,normalization,fold to match_key,one composition printed 2 ways across the sources
